Traffic Volumes Counts,,,,,,,,,,24 hour Period Hourly Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Cnty,Rte,Prefix,PM,Leg,Dir,Description,Date,Day,_0_1,,_1_2,,_2_3,,_3_4,,_4_5,,_5_6 ,,_6_7,,_7_8,,_8_9,,_9_10,,_10_11,,_11_12,,_12_13,,_13_14,,_14_15,,_15_16,,_16_17,,_17_18,,_18_19 ,,_19_20,,_20_21 ,,_21_22,,_22_23,,_23_24,,_24hr_total
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/04/2019,FRI,463,A,257,A,199,A,156,A,254,A,510,A,1022,A,1465,A,2015,A,2268,A,2488,A,3351,A,4069,A,4447,A,5261,A,4706,A,5242,A,5413,A,4418,A,3871,A,2851,A,2288,A,1805,A,1162,A,"59,981 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/05/2019,SAT,710,A,406,A,254,A,161,A,200,A,322,A,488,A,829,A,1305,A,1715,A,2410,A,2802,A,3250,A,3559,A,3521,A,3379,A,3165,A,3343,A,2889,A,2459,A,2101,A,1873,A,1577,A,1012,A,"43,730 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/06/2019,SUN,672,A,315,A,247,A,147,A,137,A,186,A,290,A,532,A,872,A,1331,A,2008,A,2661,A,2893,A,3475,A,3033,A,2664,A,2663,A,2404,A,2252,A,1893,A,1580,A,1455,A,950,A,667,A,"35,327 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/07/2019,MON,341,A,196,A,180,A,138,A,249,A,524,A,1003,A,1695,A,2098,A,1932,A,2078,A,2763,A,3465,A,3898,A,5028,A,4976,A,5752,A,6390,A,5278,A,4754,A,3229,A,3604,A,2690,A,1131,A,"63,392 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/08/2019,TUE,568,A,282,A,240,A,176,A,300,A,604,A,1163,A,1820,A,2166,A,2104,A,2115,A,2828,A,3473,A,3807,A,5125,A,4999,A,5583,A,6300,A,5497,A,4926,A,3385,A,2114,A,1377,A,816,A,"61,768 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/09/2019,WED,456,A,251,A,160,A,154,A,270,A,580,A,1026,A,1803,A,2125,A,1998,A,2054,A,2723,A,3416,A,4075,A,5000,A,4573,A,5169,A,6502,A,5835,A,5171,A,3392,A,2338,A,1525,A,928,A,"61,524 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/10/2019,THU,444,A,270,A,215,A,165,A,265,A,574,A,1096,A,1848,A,2112,A,2105,A,2156,A,3023,A,3579,A,4266,A,5234,A,4939,A,5029,A,6135,A,6286,A,5229,A,3615,A,2503,A,1547,A,930,A,"63,565 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/11/2019,FRI,492,A,262,A,225,A,186,A,231,A,558,A,1068,A,1792,A,2242,A,2321,A,2391,A,3376,A,4114,A,4840,A,5345,A,4950,A,5198,A,6251,A,5795,A,5007,A,3415,A,2341,A,2041,A,1295,A,"65,736 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/12/2019,SAT,711,A,360,A,329,A,203,A,206,A,395,A,634,A,988,A,1502,A,2284,A,2772,A,3287,A,3750,A,4080,A,4138,A,4096,A,3998,A,3782,A,3411,A,2886,A,2633,A,2286,A,1776,A,1159,A,"51,666 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/13/2019,SUN,646,A,360,A,284,A,159,A,124,A,191,A,306,A,591,A,1035,A,1697,A,2375,A,3053,A,3466,A,4053,A,3816,A,3523,A,3365,A,3084,A,2837,A,2427,A,1942,A,1658,A,1110,A,654,A,"42,756 "
